dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage,ART,Metadaten,Format,Datum,KGSt
Hauptwohnbevölkerung nach Geschlecht und Staatsangehörigkeit 2017,Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,Hauptwohnbevölkerung nach Geschlecht und Staatsangehörigkeit 2017,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-hauptwohnbevoelkerung_nach_geschlecht_und_staatsangehoerigkeit_2017#21,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2020-01-28T05:09:27.460417,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-hauptwohnbevoelkerung-nach-geschlecht-und-staatsangehoerigkeit-2017-do,,,,,
Hauptwohnbevölkerung nach Geschlecht und Staatsangehörigkeit 2018,Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,Hauptwohnbevölkerung nach Geschlecht und Staatsangehörigkeit 2018,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-hauptwohnbevoelkerung_nach_geschlecht_und_staatsangehoerigkeit_2018#191,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2020-01-28T05:09:37.101719,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-hauptwohnbevoelkerung-nach-geschlecht-und-staatsangehoerigkeit-2018-do,,,,,
Konzerthaus Dortmund - Veranstaltungen und Besucher*innen seit 2004,Freizeit - Einrichtungen,Freizeit,Einrichtungen,Konzerthaus Dortmund - Veranstaltungen und Besucher*innen seit 2004,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-konzerthaus_dortmund_-_veranstaltungen_und_besucherinnen_seit_2004#83,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:09:37.710197,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-konzerthaus-dortmund-veranstaltungen-und-besucherinnen-seit-2004-do,,,,,
Landtagswahl Erststimmen 2017,Wahlen - Wahlergebnis Landtagswahlen,Wahlen,Wahlergebnis Landtagswahlen,Landtagswahl Erststimmen 2017,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-landtagswahl_erststimmen_2017#49,,Regierung und öffentlicher Sektor,2020-01-28T05:09:45.247800,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-landtagswahl-erststimmen-2017-do,,,,,
Landtagswahl Zweitstimmen 2017,Wahlen - Wahlergebnis Landtagswahlen,Wahlen,Wahlergebnis Landtagswahlen,Landtagswahl Zweitstimmen 2017,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-landtagswahl_zweitstimmen_2017#51,,Regierung und öffentlicher Sektor,2020-01-28T05:09:53.421948,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-landtagswahl-zweitstimmen-2017-do,,,,,
Länge des Straßennetzes nach Straßenkategorien seit 1990,Infrastruktur - Straßen,Infrastruktur,Straßen,Länge des Straßennetzes nach Straßenkategorien seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-laenge_des_strassennetzes_nach_strassenkategorien_seit_1990#113,,,2020-01-28T05:09:54.357392,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-laenge-des-strassennetzes-nach-strassenkategorien-seit-1990-do,,,,,
"Personalausweise, Reisepässe und Führerscheine seit 1990",Bürgerservice - Produkte,Bürgerservice,Produkte,"Personalausweise, Reisepässe und Führerscheine seit 1990",http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-personalausweise_reisepaesse_und_fuehrerscheine_seit_1990#95,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:09:55.144661,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-personalausweise-reisepaesse-und-fuehrerscheine-seit-1990-do,,,,,
Plätze in Pflegeeinrichtungen seit 1990,Gesundheitseinrichtungen - Pflege,Gesundheitseinrichtungen,Pflege,Plätze in Pflegeeinrichtungen seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-plaetze_in_pflegeeinrichtungen_seit_1990#59,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2020-01-28T05:10:05.276778,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-plaetze-in-pflegeeinrichtungen-seit-1990-do,,,,,
"Realschulen Anzahl, Klassen, Schüler*innen und Lehrkräfte seit 1990",Schulen - Schülerzahlen,Schulen,Schülerzahlen,"Realschulen Anzahl, Klassen, Schüler*innen und Lehrkräfte seit 1990",http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-realschulen_anzahl_klassen_schuelerinnen_und_lehrkraefte_seit_1990#79,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport,Wissenschaft und Technologie",2020-01-28T05:10:11.053007,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-realschulen-anzahl-klassen-schuelerinnen-und-lehrkraefte-seit-1990-do,,,,,
Realschulen Schulabgänger*innen nach Abschluss seit 1990,Schulen - Schülerzahlen,Schulen,Schülerzahlen,Realschulen Schulabgänger*innen nach Abschluss seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-realschulen_schulabgaengerinnen_nach_abschluss_seit_1990#81,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport,Wissenschaft und Technologie",2020-01-28T05:10:16.366188,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-realschulen-schulabgaengerinnen-nach-abschluss-seit-1990-do,,,,,
Rettungswachen und Krankentransportdienst der Berufsfeuerwehr seit 1990,Feuerwehr - Einrichtungen,Feuerwehr,Einrichtungen,Rettungswachen und Krankentransportdienst der Berufsfeuerwehr seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-rettungswachen_und_krankentransportdienst_der_berufsfeuerwehr_seit_1990#55,Datenlizenz Deutschland Namensnennung 2.0,Gesundheit,2020-01-28T05:10:17.775062,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-rettungswachen-und-krankentransportdienst-der-berufsfeuerwehr-seit-1990-do,,,,,
Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit insgesamt und nach Wirtschaftsabschnitten seit 2008,Bevölkerung - Arbeit,Bevölkerung,Arbeit,Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit insgesamt und nach Wirtschaftsabschnitten seit 2008,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-sozialversicherungspflichtig_beschaeftigte_am_ort_der_arbeit_insgesamt_und_nach_wirtschaftsabschnitten_seit_2008#17,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2020-01-28T05:10:21.378732,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-sozialversicherungspflichtig-beschaeftigte-am-ort-der-arbeit-insgesamt-und-nach,,,,,
Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit nach Altersgruppen seit 2008,Bevölkerung - Arbeit,Bevölkerung,Arbeit,Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit nach Altersgruppen seit 2008,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-sozialversicherungspflichtig_beschaeftigte_am_ort_der_arbeit_nach_altersgruppen_seit_2008#139,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2020-01-28T05:10:25.701378,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-sozialversicherungspflichtig-beschaeftigte-am-ort-der-arbeit-nach-altersgruppen,,,,,
Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit nach Geschlecht und Staatsangehörigkeit seit 2008,Bevölkerung - Arbeit,Bevölkerung,Arbeit,Sozialversicherungspflichtig Beschäftigte am Ort der Arbeit nach Geschlecht und Staatsangehörigkeit seit 2008,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-sozialversicherungspflichtig_beschaeftigte_am_ort_der_arbeit_nach_geschlecht_und_staatsangehoerigkeit_seit_2008#143,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2020-01-28T05:10:29.354607,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-sozialversicherungspflichtig-beschaeftigte-am-ort-der-arbeit-nach-geschlecht-un,,,,,
Sozialversicherungspflichtig Beschäftigte Berufsein- und Auspendler seit 1994,Bevölkerung - Arbeit,Bevölkerung,Arbeit,Sozialversicherungspflichtig Beschäftigte Berufsein- und Auspendler seit 1994,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-sozialversicherungspflichtig_beschaeftigte_berufsein-_und_auspendler_seit_1994#141,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2020-01-28T05:10:32.980007,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-sozialversicherungspflichtig-beschaeftigte-berufsein-und-auspendler-seit-1994-,,,,,
Steueraufkommen nach ausgewählten Steuerarten bei den Dortmunder Finanzämtern seit 1990,Steuern und Abgaben - Nettoeinnahmen,Steuern und Abgaben,Nettoeinnahmen,Steueraufkommen nach ausgewählten Steuerarten bei den Dortmunder Finanzämtern seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-steueraufkommen_nach_ausgewaehlten_steuerarten_bei_den_dortmunder_finanzaemtern_seit_1990#97,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:10:33.594976,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-steueraufkommen-nach-ausgewaehlten-steuerarten-bei-den-dortmunder-finanzaemtern,,,,,
Straftaten nach Art seit 1990,Sicherheit - Kriminalitätsstatistik,Sicherheit,Kriminalitätsstatistik,Straftaten nach Art seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-straftaten_nach_art_seit_1990#123,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:10:34.185288,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-straftaten-nach-art-seit-1990-do,,,,,
Straßenverkehrsunfälle mit Personen- und schwerwiegendem Sachschaden nach Ortslagen seit 1990,Individualverkehr - Unfälle,Individualverkehr,Unfälle,Straßenverkehrsunfälle mit Personen- und schwerwiegendem Sachschaden nach Ortslagen seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-strassenverkehrsunfaelle_mit_personen-_und_schwerwiegendem_sachschaden_nach_ortslagen_seit_1990#115,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:10:34.944535,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-strassenverkehrsunfaelle-mit-personen-und-schwerwiegendem-sachschaden-nach-ort,,,,,
Studierende der TU Dortmund insgesamt und nach Fakultäten im Wintersemester seit 1990,Hochschulen - Studierendenzahlen,Hochschulen,Studierendenzahlen,Studierende der TU Dortmund insgesamt und nach Fakultäten im Wintersemester seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-studierende_der_tu_dortmund_insgesamt_und_nach_fakultaeten_im_wintersemester_seit_1990#11,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport,Wissenschaft und Technologie",2020-01-28T05:10:40.465781,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-studierende-der-tu-dortmund-insgesamt-und-nach-fakultaeten-im-wintersemester-se,,,,,
Tierbestand im Zoo sowie Besucher*innen des Zoos und der Pflanzenschauhäuser seit 1990,Freizeit - Einrichtungen,Freizeit,Einrichtungen,Tierbestand im Zoo sowie Besucher*innen des Zoos und der Pflanzenschauhäuser seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-tierbestand_im_zoo_sowie_besucherinnen_des_zoos_und_der_pflanzenschauhaeuser_seit_1990#89,Datenlizenz Deutschland Namensnennung 2.0,,2020-01-28T05:10:41.171855,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-tierbestand-im-zoo-sowie-besucherinnen-des-zoos-und-der-pflanzenschauhaeuser-se,,,,,
Versorgung mit Energie und Wasser seit 1994,Stadtwerke - Kennzahlen,Stadtwerke,Kennzahlen,Versorgung mit Energie und Wasser seit 1994,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-versorgung_mit_energie_und_wasser_seit_1994#61,Datenlizenz Deutschland Namensnennung 2.0,Umwelt,2020-01-28T05:10:45.637396,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-versorgung-mit-energie-und-wasser-seit-1994-do,,,,,
Witterungsverhältnisse seit 1990,Wetter - Messstellen,Wetter,Messstellen,Witterungsverhältnisse seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-witterungsverhaeltnisse_seit_1990#10,Datenlizenz Deutschland Namensnennung 2.0,Umwelt,2020-01-28T05:10:49.954627,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-witterungsverhaeltnisse-seit-1990-do,,,,,
Zu- und Abgang von Arbeitslosen seit 1990,Bevölkerung - Demografie,Bevölkerung,Demografie,Zu- und Abgang von Arbeitslosen seit 1990,http://opendata.dortmund.de/duva2ckan-1.0.6/files/de-nrw-dortmund-zu-_und_abgang_von_arbeitslosen_seit_1990#145,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2020-01-28T05:10:53.759281,Dortmund,https://open.nrw/dataset/de-nrw-dortmund-zu-und-abgang-von-arbeitslosen-seit-1990-do,,,,,
3D Stadtmodell,Stadtplan - Stadtmodell 3D,Stadtplan,Stadtmodell 3D,"Das 3D-Stadtmodell im Level of Detail 1 (LOD1) enthält 3D-Gebäudedaten im sogenannten Klötzchenmodell, welches alle Gebäude mit Flachdächern darstellt. Abgeleitet wird es mit Hilfe der Gebäudegrundrisse aus dem Amtlichen Liegenschaftskatasterinformationssystem (ALKIS), der mittleren Gebäudehöhe aus dem Digitalen Oberflächenmodell (DOM) und der Höhenlage aus dem Digitalen Geländemodell (DGM).",0f400d32-56a4-4070-9821-ecce47b0c47a,Creative Commons Namensnennung (CC-BY),,2020-01-28T04:55:36.988020,Duisburg,https://open.nrw/dataset/3d-stadtmodell-du,,,,,
40. Duisburger Weihnachtsmarkt,Externe Infrastruktur - Märkte,Externe Infrastruktur,Märkte,"Alljährlich zur Vorweihnachtszeit verwandelt sich die Duisburger Innenstadt in ein stimmungsvolles, glitzerndes Lichtermeer mit weit über hundert liebevoll dekorierten Holzhütten, festlich geschmückten Tannen und allerlei Lichtinstallationen. Die zauberhafte Stimmung auf dem Weihnachtsmarkt leitet für viele die schönste Zeit des Jahres ein. Der Standplan zum Weihnachtsmarkt 2019 hilft dabei genau die Stände zu finden, die man bei seinem Besuch des 40. Duisburger Weihnachtsmarktes besuchen möchte und vielleicht noch den einen oder anderen Stand zusätzlich",0e95cb1c-b1ad-4c73-a365-8ea0d57f235d,Creative Commons Namensnennung (CC-BY),"Bildung, Kultur und Sport",2020-01-28T04:56:27.733414,Duisburg,https://open.nrw/dataset/40-duisburger-weihnachtsmarkt-du,,,,,
Amtliche Basiskarte Duisburg,Raumordnung - Stadtgebiet,Raumordnung,Stadtgebiet,Die Amtliche Basiskarte (ABK) ist das Nachfolgekartenwerk der Deutschen Grundkarte (DGK). Die ABK deckt den Kartenmaßstab 1:5000 als topographisches Basiskartenwerk ab.<br />Sie ist die Schnittstelle zwischen der eigentumsorientierten Liegenschaftskarte und den topographischen Landeskartenwerken. Ausgegeben wird die ABK unmittelbar aus den tagesaktuellen Daten der Liegenschaftskarte und ist somit deutlich aktueller als ihre Vorgängerin die Deutsche Grundkarte.Die Daten können über die folgenden Links betrachtet werden:<ul><li>Zur ABK farbig</li>	<li>Zur ABK SW</li></ul>,8bc49eb1-9c36-4973-96b5-bdd6ad98adc0,Creative Commons Namensnennung (CC-BY),,2020-01-28T04:51:39.255831,Duisburg,https://open.nrw/dataset/amtliche-basiskarte-duisburg-du,,,,,
Anzahl an Online Terminvereinbarungen in den Bürger-Service-Stationen,Bürgerservice - Termine,Bürgerservice,Termine,"Seit dem 16.04.2019 ist die Online-Terminvereinbarung für alle Duisburger Bürger-Service-Stationen möglich. Somit kann nun über duisburg.de/termine für alle angebotenen Dienstleistungen vorab ein Termin in der gewünschten Bürger-Service-Station vereinbart werden.Die Statistik ""Anzahl an Online Terminvereinbarungen in den Bürger-Service-Stationen"" zeigt die Anzahl an erfolgten Online Terminvereinbarungen je Bürger-Service-Station und die Gesamtzahl pro Jahr an.Die Statistik wird im JSON, CSV und XLSX-Format zur Verfügung gestellt.",3ef0a8a9-aaf9-4aa3-bd17-fbf8eb043ed5,Creative Commons Namensnennung (CC-BY),Regierung und öffentlicher Sektor,2020-01-28T04:56:42.068013,Duisburg,https://open.nrw/dataset/anzahl-online-terminvereinbarungen-den-buerger-service-stationen-du,,,,,
Ausbildungsberufe und Anzahl in der Stadt Duisburg 2016 - 2020,Wirtschaft - Meldungen,Wirtschaft,Meldungen,"Die Statistik ""Ausbildungsberufe und Anzahl in der Stadt Duisburg 2016 - 2020"" untergliedert sich in die Bereiche Verwaltungsberufe, gewerblich-technische Berufe und Berufe mit Vorbildung. Außerdem sind die sozialen Ausbildungsberufe erfasst und die Umschulungsmaßnahmen der GfB werden nachrichtlich aufgeführt.<br />Die Statistik wird im CSV- und PDF-Format zur Verfügung gestellt.",abf3f239-57e9-4138-b012-fb66a0a50775,Creative Commons Namensnennung (CC-BY),Regierung und öffentlicher Sektor,2020-01-28T04:56:24.100016,Duisburg,https://open.nrw/dataset/ausbildungsberufe-und-anzahl-der-stadt-duisburg-2016-2020-du,,,,,
Behörden in Duisburg,Behörden - Einrichtungen,Behörden,Einrichtungen,"Auflistung von Behörden in Duisburg.In den Daten sind folgende Attribute enthalten:<ul><li>OBJECTID ( type: esriFieldTypeOID , alias: OBJECTID )</li>	<li>BEZ ( type: esriFieldTypeString , alias: BEZ , length: 800 )</li>	<li>COL_NAME ( type: esriFieldTypeString , alias: COL_NAME , length: 50 )</li>	<li>SHAPE ( type: esriFieldTypeGeometry , alias: SHAPE )</li>	<li>ADRESSE ( type: esriFieldTypeString , alias: ADRESSE , length: 255 )</li>	<li>EXTINFO ( type: esriFieldTypeString , alias: EXTINFO , length: 255 )</li></ul>Die Daten stammen aus der Infrastrukturdatenbank der Stadt Duisburg, die auf dem Objektmodell XErleben basiert.Diese können über den folgenden Link betrachtet werden: Zur Kartendarstellung.",c0ece631-8df0-4364-888e-d5ade91fdb9e,Creative Commons Namensnennung (CC-BY),"Bevölkerung und Gesellschaft,Regierung und öffentlicher Sektor",2020-01-28T04:53:32.117619,Duisburg,https://open.nrw/dataset/behoerden-duisburg-du,,,,,
Deutsche Grundkarte,Raumordnung - Stadtgebiet,Raumordnung,Stadtgebiet,"Als Basiskartenwerk im Maßstab 1:5.000 stellt die Deutsche Grundkarte einen Übergang von der Liegenschaftskarte (1:500) zur Topografischen Karte (1:25.000) dar. Die DGK enthält Gebäude, Grundstücksgrenzen und Topografie. Damit eignete sie sich gut für Planungszwecke. Aufgrund ihrer maßstäblichen Detailtreue können Veränderungen im Stadtgebiet oft lagerichtig nachvollzogen werden.<br />Der Aktualisierungszyklus der Deutschen Grundkarte erfolgte Blattweise (2 km x 2 km) in einem Zeitraum von ca. 4 Jahren. In Randgebieten auch länger. Um eine möglichst flächendeckende Darstellung zu gewährleisten wurden mehrere Jahrgänge miteinander verbunden. Eine einzelne Jahrgangsauswahl ist zusätzlich möglich. Eine Übersicht aller zusammengefassten und einzelnen Jahrgänge kann der PDF-Datei „Historische Kartenübersicht DGK“ entnommen werden.Um die doppelte Führung von Gebäuden und Grenzen zu vermeiden, wurde die DGK durch die Amtliche Basiskarte (ABK) ab 2017 abgelöst. Die ABK wird zusammen mit der Liegenschaftskarte aus dem Allgemeinen Liegenschaftskatasterinformationssystem (ALKIS®) abgeleitet.Bei dem voreingestellten Ausschnitt der Deutschen Grundkarte, der über den Button 'Go to resource' aufgerufen werden kann, handelt es sich nur um einen kleinen Bereich der zur Verfügung stehenden Daten. Über die Anpassung der Bounding Box (Parameter BBOX in der URL) kann der dargestellte Ausschnitt angepasst werden.Das Historische GEO Portal können Sie hier aufrufen: Historisches GEO Portal",3c0fcc1f-06ce-4831-8b98-de8562080cb2,Creative Commons Namensnennung (CC-BY),,2020-01-28T04:54:53.980753,Duisburg,https://open.nrw/dataset/deutsche-grundkarte-du,,,,,
Duisburg,,,,Duisburg Harvester,e0075dc8-2f76-48f8-b8e6-223c2251cd6b,,,2019-05-10T06:28:10.848503,Duisburg,https://open.nrw/dataset/duisburg,,,,,
Einwohner mit Migrationshintergrund,Bevölkerung - Migrationshintergrund,Bevölkerung,Migrationshintergrund,"Einwohner Insgesamt, Personen ohne Migrationshintergrund, Personen mit Migrationshintergrund, dar. Ausländer, dar. Deutsche mit MigrationshintergrundGebietsgliederung: OrtsteilsebeneQuelle: Einwohnermeldedatei; Auswertung Stabstelle für Wahlen und Informationslogistik",b2fea493-e766-4dad-a1dc-90952804bf11,Creative Commons Namensnennung (CC-BY),Bevölkerung und Gesellschaft,2020-01-28T04:55:49.696796,Duisburg,https://open.nrw/dataset/einwohner-mit-migrationshintergrund-du,,,,,
Einwohner nach Alter,Bevölkerung - Einwohnerzahl,Bevölkerung,Einwohnerzahl,Einwohner nach 100 AltersklassenGebietsgliederung: OrtsteilsebeneQuelle: Stabstelle für Wahlen und Informationslogistik,f947a7a8-20b7-4d98-a8ff-399b4987ee47,Creative Commons Namensnennung (CC-BY),Bevölkerung und Gesellschaft,2020-01-28T04:54:42.122523,Duisburg,https://open.nrw/dataset/einwohner-nach-alter-du,,,,,
Einwohnerstatistik,Bevölkerung - Einwohnerzahl,Bevölkerung,Einwohnerzahl,"Einwohner Insgesamt,  Deutsche, EU - Ausländer und Nicht EU - Ausländer nach GeschlechtGebietsgliederung: OrtsteilsebeneQuelle: Einwohnermeldedatei; Auswertung Stabstelle für Wahlen und Informationslogistik",8261a9cd-d1c6-4d03-97da-51c0ff3c084e,Creative Commons Namensnennung (CC-BY),Bevölkerung und Gesellschaft,2020-01-28T04:54:01.139476,Duisburg,https://open.nrw/dataset/einwohnerstatistik-du,,,,,
Fluren,Raumordnung - Liegenschaftskataster,Raumordnung,Liegenschaftskataster,"Polygone der Fluren in Duisburg.Attribute:<ul><li>OBJECTID  ( type: esriFieldTypeOID , alias: OBJECTID ) </li><li>GMK  ( type: esriFieldTypeString , alias: Gemarkung/schluessel , length: 8 ) </li><li>FLN  ( type: esriFieldTypeString , alias: Flur/nummer , length: 8 ) </li><li>SHAPE  ( type: esriFieldTypeGeometry , alias: SHAPE ) </li><li>SHAPE_Length  ( type: esriFieldTypeDouble , alias: SHAPE_Length ) </li><li>SHAPE_Area  ( type: esriFieldTypeDouble , alias: SHAPE_Area ) </li></ul>",54e0d196-6b91-4338-b3f3-76a7c5679c53,Creative Commons Namensnennung (CC-BY),,2020-01-28T04:51:46.879955,Duisburg,https://open.nrw/dataset/fluren-du,,,,,
Haushalte nach Arten,Bevölkerung - Wohnen,Bevölkerung,Wohnen,"Einpersonenhaushalte, Ehepaare (mit Kindern), Nichteheliche Lebensgemeinschaften (mit Kindern), Alleinerziehende und Haushalte insgesamt (mit Kindern)Gebietsgliederung: OrtsteilsebeneQuelle: Stabstelle für Wahlen und Informationslogistik, HHGEN ",72dd3604-f7d7-4ad1-8f35-3364d756f5f7,Creative Commons Namensnennung (CC-BY),Bevölkerung und Gesellschaft,2020-01-28T04:54:21.875702,Duisburg,https://open.nrw/dataset/haushalte-nach-arten-du,,,,,
Haushaltsgröße,Bevölkerung - Wohnen,Bevölkerung,Wohnen,"Haushalte nach Anzahl der im Haushalt lebenden PersonenGebietsgliederung: OrtsteilsebeneQuelle: Stabstelle für Wahlen und Informationslogistik, HHGEN ",258cb4f6-1c8d-4282-b811-604539355ab2,Creative Commons Namensnennung (CC-BY),Bevölkerung und Gesellschaft,2020-01-28T04:54:32.225001,Duisburg,https://open.nrw/dataset/haushaltsgroesse-du,,,,,
Haushaltspläne Duisburg,Haushalt - Haushaltsplan,Haushalt,Haushaltsplan,Der Produkthaushalt besteht aus den Rechnungselementen - Ergebnisplan/-rechnung (periodengerechte Erfassung der Erträge und Aufwendungen innerhalb eines Haushaltsjahres) und Finanzplan/-rechnung (tatsächliche Ein- und Auszahlungen zur Darstellung der Investitions- sowie der Verwaltungs- und Finanzierungstätigkeit).Nachfolgend sind die Haushaltpläne der vergangenen Jahre bereit gestellt.<br />In dem Zeitraum zwischen Haushaltseinbringung und Genehmigung ist hier der aktuelle Haushaltsplanentwurf einsehbar. Einzelheiten zum Inhalt und Aufbau der Haushaltspläne sind in dem Vorbericht beschrieben. Für weitere Informationen bezüglich der Bezirke stehen die Bezirksbände zur Verfügung.,edf7c1e1-2baf-4ea3-a732-27e09178535d,Creative Commons Namensnennung (CC-BY),Regierung und öffentlicher Sektor,2020-01-28T04:51:55.232235,Duisburg,https://open.nrw/dataset/haushaltsplaene-duisburg-du,,,,,
Historische Luftbilder,Geschichte - Historische Luftaufnahmen,Geschichte,Historische Luftaufnahmen,"Luftbilder sind Modelle der Wirklichkeit, die den erfassten Geländeausschnitt in einer Momentaufnahme unmittelbar und konkret abbilden.Es wird nicht in jedem Jahrgang das gesamte Stadtgebiet abgebildet. Welche Bereiche in den jeweiligen Jahrgängen enthalten sind, kann der Datei 'Historische Kartenübersicht Luftbilder' entnommen werden. Die Luftbilder werden als WMS-Dienst zur Verfügung gestellt. Bei dem voreingestellten Ausschnitt der Luftbilder, der über den Button 'Go to resource' aufgerufen werden kann, handelt es sich nur um einen kleinen Bereich der zur Verfügung stehenden Daten. Über die Anpassung der Bounding Box (Parameter BBOX in der URL) kann der dargestellte Ausschnitt angepasst werden.Das Historische GEO Portal können Sie hier aufrufen: Historisches GEO Portal",c3b435b2-26ab-4aa9-9c55-226afbff3ec7,Creative Commons Namensnennung (CC-BY),,2020-01-28T04:53:45.542842,Duisburg,https://open.nrw/dataset/historische-luftbilder-du,,,,,
