dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage
Bevölkerungsstruktur nach Nationalität Geschlecht Gesamtstadt Jahr (Gelsenkirchen),Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,"Bevölkerung am Ort der Hauptwohnung nach Geschlecht und Nationalität, Haushalte<br />Statistikstelle Gelsenkirchen, Quelle: Einwohnerdatenbank, eigene BerechnungenBemerkung: Die Haushaltegenerierung für die Jahre 2015 und 2016 wird im Laufe des Jahres 2017 veröffentlicht.Spaltenbeschreibungen:<br />STICHTAG: Stichtag zum  31.12.<br />BEV: Bevölkerung gesamt<br />BEV_W: Bevölkerung weiblich<br />BEV_DICHTE_KM²: Bevölkerungsdichte pro km²<br />ND: Nichtdeutsche gesamt<br />ND_W: Nichtdeutsche weiblich<br />ND_DICHTE_KM²: Nichtdeutsche Bevölkerung gesamt vH<br />HH: Haushalte",c33bb757-415d-46ad-9d85-fb4954f8a7d2,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:54:24.443733,Gelsenkirchen,https://open.nrw/dataset/bevoelkerungsstruktur-nach-nationalitaet-geschlecht-gesamtstadt-jahr-gelsenkirchen-ge
Bevölkerungsstruktur nach Nationalität Geschlecht Gesamtstadt Quartal (Gelsenkirchen),Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,"Bevölkerung am Ort der Hauptwohnung nach der 1. Staatsangehörigkeit<br />Statistikstelle Gelsenkirchen, Quelle: Einwohnerdatenbank, eigene BerechnungenErläuterung zum Anonymisierungsverfahren<br />Die Werte sind ganzzahlig, teilbar durch 3, gerundet worden.<br />Beispiel:<br />Bevölkerungszahl = 0 oder 1 wird der Wert 0 angezeigt<br />Bevölkerungszahl = 2 oder 3 wird der Wert 3 angezeigt<br />Bevölkerungszahl größer 3 wird der nächst liegende Wert teilbar durch 3 angezeigt<br />Durch Rundung verloren gegangene Summenwerte können bei größeren Merkmalswerten vernachlässigt werden.<br /><br />Spaltenbeschreibungen:<br />STICHTAG: Datum des Stichtags<br />STAAT_1_BEZ: Land der 1. Staatsangehörigkeit<br />BEV: Anzahl der Bevölkerung gesamt<br />BEV_M: Anzahl der Bevölkerung männlich<br />BEV_W: Anzahl der Bevölkerung weiblich",8e2782d1-e7a7-4ca9-83f3-5f7a2e80b519,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:54:35.232821,Gelsenkirchen,https://open.nrw/dataset/bevoelkerungsstruktur-nach-nationalitaet-geschlecht-gesamtstadt-quartal-gelsenkirchen-ge
Bevölkerungsverlauf nach Nationalität seit 1950,Bevölkerung - Staatsangehörigkeit,Bevölkerung,Staatsangehörigkeit,"Bevölkerung am Ort der Hauptwohnung nach Nationalität seit 1950<br />Stadt Gelsenkirchen, R3/1 Statistik und Monitoring, Eigene Berechnungen auf Basis der Einwohnerdatenbank<br />Nutzungsbedingungen: Die Statistikstelle verweist auf die Urheberrechte der Stadt Gelsenkirchen,<br />https://www.gelsenkirchen.de/de/_funktionsnavigation/impressum.aspx",14298560-470d-4268-a9ea-8c809a1d2fcf,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T06:03:12.203451,Gelsenkirchen,https://open.nrw/dataset/bevoelkerungsverlauf-nach-nationalitaet-seit-1950-ge
Defibrillatoren (öffentliche) in Gelsenkirchen,Rettungsdienst - Defibrillatoren,Rettungsdienst,Defibrillatoren,Infrastrukturdaten über die öffentlichen Defibrillatoren der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer des Defibrillators<br />Name: Name des Standorts des Defibrillators<br />Art: Art des Objekts<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname des Standorts des Defibrillators<br />Stadtteil: Name des Stadtteils<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Info: Information zum Öffnungszeiten des Gebäudes<br />Internetbeschreibung: Informationen zum Standort innerhalb des Gebäudes<br />Barrierefrei (Inklusion): Barrierefreiheit des Standorts,da1b633b-4468-47b5-b6f8-01296805c6cf,Datenlizenz Deutschland Namensnennung 2.0,Gesundheit,2019-10-21T05:55:41.251920,Gelsenkirchen,https://open.nrw/dataset/defibrillatoren-oeffentliche-gelsenkirchen-ge
Einrichtungen für Menschen mit Behinderung in Gelsenkirchen,Soziale Hilfen - Behindertenwohnheime,Soziale Hilfen,Behindertenwohnheime,Infrastrukturdaten über Einrichtungen für Menschen mit Behinderung in Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer<br />Name: Name<br />Art: Art<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse<br />Info: Nähere Information<br />Barrierefrei (Inklusion): Barrierefreiheit (ja/nein),7be2c512-4152-4d60-810b-41c164c4b018,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:57:13.063228,Gelsenkirchen,https://open.nrw/dataset/einrichtungen-fuer-menschen-mit-behinderung-gelsenkirchen-ge
Einzelhandel Gelsenkirchen,Externe Infrastruktur - Einzelhandel,Externe Infrastruktur,Einzelhandel,Daten über den Einzelhandel in Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Objekte<br />Name: Name der Objekte<br />Art: Art der Objekte<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />Bezirk: Stadtbezirk<br />Stadtteil: Stadtteil<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Hauptwarengruppe: Hauptwarengruppe,2f194853-ff46-4c9e-bb38-21a71244e800,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2019-10-21T05:55:51.293434,Gelsenkirchen,https://open.nrw/dataset/einzelhandel-gelsenkirchen-ge
Einzelhandel in Gelsenkirchen - Lebensmitteleinzelhandel mit Nahversorgungsfunktion,Externe Infrastruktur - Einzelhandel,Externe Infrastruktur,Einzelhandel,Übersichtsdarstellung zur Verteilung des Lebensmitteleinzelhandels in Gelsenkirchen,2100ed64-153a-4296-a852-baa6a5e74b93,Datenlizenz Deutschland Namensnennung 2.0,Wirtschaft und Finanzen,2019-10-21T06:03:00.119037,Gelsenkirchen,https://open.nrw/dataset/einzelhandel-gelsenkirchen-lebensmitteleinzelhandel-mit-nahversorgungsfunktion-ge
Erinnerungsorte in Gelsenkirchen,Kultur - Denkmäler,Kultur,Denkmäler,Infrastrukturdaten über die Erinnerungsorte in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer des Erinnerungsortes<br />Name: Name der Erinnerungsortes<br />Art: Art<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname des Erinnerungsortes<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Schlagworte: Themenbezug des Erinnerungsortes<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Einrichtung<br />Info: Nähere Information zur Einrichtung,bb1c2043-231a-4c9e-b8e9-a6a01c658e5e,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:59:26.127016,Gelsenkirchen,https://open.nrw/dataset/erinnerungsorte-gelsenkirchen-ge
Feuerwehr und Katastrophenschutz in Gelsenkirchen,Feuerwehr - Einrichtungen,Feuerwehr,Einrichtungen,Infrastrukturdaten über Feuerwehr und Katastrophenschutz in Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer<br />Name: Name<br />Art: Art<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse<br />Info: Nähere Information<br />Barrierefrei (Inklusion): Barrierefreiheit (ja/nein),9123ae1d-14d2-4589-b4e0-87f03c81b279,Datenlizenz Deutschland Namensnennung 2.0,Regierung und öffentlicher Sektor,2019-10-21T05:57:20.157345,Gelsenkirchen,https://open.nrw/dataset/feuerwehr-und-katastrophenschutz-gelsenkirchen-ge
Gelsenkirchen,,,,Gelsenkirchen Harvester,74502607-27c9-4c15-a836-055514a798f3,,,2017-06-14T12:00:13.777438,Gelsenkirchen,https://open.nrw/dataset/gelsenkirchen
Grünanlagen in Gelsenkirchen,Grünflächen - Parkanlagen,Grünflächen,Parkanlagen,Infrastrukturdaten über Grünanlagen&nbsp;in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Anlage<br />Name: Name der Anlage<br />Art: Art der Anlage<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname des Standorts der Anlage<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Anlage<br />Info: Nähere Information zur Anlage<br />Barrierefrei (Inklusion): Barrierefreiheit der Anlage (ja/nein),c7b16b0e-d89e-45a2-9f3e-a9dbd16c4268,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:56:26.867249,Gelsenkirchen,https://open.nrw/dataset/gruenanlagen-gelsenkirchen-ge
Halden in Gelsenkirchen,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,Infrastrukturdaten über Halden&nbsp;der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Anlage<br />Name: Name der Anlage<br />Art: Art der Anlage<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname des Standorts der Anlage<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Anlage<br />Info: Nähere Information zur Anlagen<br />Barrierefrei (Inklusion): Barrierefreiheit der Anlage(ja/nein),7a4a730f-7d41-4c1c-a718-4a341dd0e716,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:56:34.798590,Gelsenkirchen,https://open.nrw/dataset/halden-gelsenkirchen-ge
Hilfe Demenz in Gelsenkirchen,Soziale Hilfen - Einrichtungen,Soziale Hilfen,Einrichtungen,Infrastrukturdaten über Demenz-Hilfe in GelsenkirchenSpaltenbeschreibungen:<br />ID: Identifikationsnummer<br />Name: Name<br />Art: Art<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse<br />Info: Nähere Information<br />Barrierefrei (Inklusion): Barrierefreiheit (ja/nein),c53590a8-22d2-4108-85a6-27f82b37d982,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:57:30.587686,Gelsenkirchen,https://open.nrw/dataset/hilfe-demenz-gelsenkirchen-ge
Hotspots in Gelsenkirchen,Infrastruktur - WLAN und Mobilfunk,Infrastruktur,WLAN und Mobilfunk,Infrastrukturdaten über öffentliche drahtlose Internetzugangspunkte (sog. Hotspots) in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />Name: Bezeichnung des Hotspots<br />Strasse: Strasse des Hotspot Standorts<br />PLZ: Postleitzahl des Hotspot Standorts<br />Stadt: Stadt des Hotspot Standorts<br />lat: Latitude - Geographische Koordinate<br />lon: Longitude - Geographische Koordinate<br />APs: Anzahl Accesspoints,a0b5571f-452d-4093-8692-4f168c37a1c1,Datenlizenz Deutschland Namensnennung 2.0,,2019-10-21T06:01:43.197668,Gelsenkirchen,https://open.nrw/dataset/hotspots-gelsenkirchen-ge
Infocenter Generationennetz in Gelsenkirchen,Soziale Hilfen - Einrichtungen,Soziale Hilfen,Einrichtungen,Infrastrukturdaten über Infocenter Generationennetz der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Sozialeinrichtung<br />Name: Name der Sozialeinrichtung<br />Art: Art der Sozialeinrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Sozialeinrichtung<br />Info: Nähere Information zur Sozialeinrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Einrichtung (ja/nein),449c0009-4132-44d4-8c1c-31fb6dae76f9,Datenlizenz Deutschland Namensnennung 2.0,"Bevölkerung und Gesellschaft,Bildung, Kultur und Sport",2019-10-21T05:57:43.327301,Gelsenkirchen,https://open.nrw/dataset/infocenter-generationennetz-gelsenkirchen-ge
Infrastrukturdatenbank der Stadt Gelsenkirchen (WMS &amp; WFS),Raumordnung - Liegenschaftskataster,Raumordnung,Liegenschaftskataster,"In der Infrastrukturdatenbank befinden sich zurzeit ca. 90 verschiedene Infrastrukturarten mit ca. 2.300 Datensätzen, die von den verantwortlichen Fachdienststellen laufend gehalten werden. In der Anwendung können diese Daten gesucht und in der digitalen Karte dargestellt werden. Alle Basisinformationen sind ebenfalls verfügbar und geben zu jeder Einrichtung weiterführende Informationen (z.B. Anschrift und Telefonnummern)&nbsp;Link des WMS-Dienstes:<br />https://gdi.gelsenkirchen.de/wss/service/WMSInfrastruktur/guestDownload-Link des WFS-Dienstes:<br />https://gdi.gelsenkirchen.de/wss/service/WFSInfrastruktur/guest",90fcd607-9cea-4a32-8bc5-aacdfd855c78,Datenlizenz Deutschland Namensnennung 2.0,"Bevölkerung und Gesellschaft,Bildung, Kultur und Sport,Regierung und öffentlicher Sektor,Wissenschaft und Technologie",2019-10-21T06:02:07.707248,Gelsenkirchen,https://open.nrw/dataset/infrastrukturdatenbank-der-stadt-gelsenkirchen-wms-wfs-ge
Kinder - und Jugendfreizeiteinrichtungen in Gelsenkirchen,Freizeit - Einrichtungen,Freizeit,Einrichtungen,Informationen über Kinder- und Jugendfreizeiteinrichtungen in Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Anlagen/Einrichtungen<br />Name: Name der Anlagen/Einrichtungen<br />Art: Art der Anlagen/Einrichtungen<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Anlagen/Einrichtungen<br />Info: Nähere Information zur Anlagen/Einrichtungen<br />Barrierefrei (Inklusion): Barrierefreiheit der Anlagen/Einrichtungen (ja/nein),ffb9262b-d624-493f-8280-c15a9cb2d836,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:56:51.337974,Gelsenkirchen,https://open.nrw/dataset/kinder-und-jugendfreizeiteinrichtungen-gelsenkirchen-ge
Kindertagespflege (Einrichtungen in Gelsenkirchen),Kindertageseinrichtungen - Kindertagestätten,Kindertageseinrichtungen,Kindertagestätten,Infrastrukturdaten über die Kindertagespflegeeinrichtungen der Stadt Gelsenkirchen.Erfasste Einrichtungen:<br />Mini-KitasSpaltenbeschreibungen:<br />ID: Identifikationsnummer der Einrichtung<br />Name: Name der Einrichtung<br />Art: Art der Einrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Einrichtung<br />Info: Nähere Information zur Einrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Einrichtung (ja/nein),36ee0dc6-4283-417c-86cd-778ab602f0f1,Datenlizenz Deutschland Namensnennung 2.0,"Bevölkerung und Gesellschaft,Bildung, Kultur und Sport,Wissenschaft und Technologie",2019-10-21T05:55:24.617696,Gelsenkirchen,https://open.nrw/dataset/kindertagespflege-einrichtungen-gelsenkirchen-ge
Kinos in Gelsenkirchen,Freizeit - Einrichtungen,Freizeit,Einrichtungen,Infrastrukturdaten über Kinos in der Stadt GelsenkirchenSpaltenbeschreibungen:<br />ID: Identifikationsnummer der Einrichtung<br />Name: Name der Einrichtung<br />Art: Art der Einrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Einrichtung<br />Info: Nähere Information zur Einrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Einrichtung (ja/nein),19bb5dde-053e-4299-ac34-c32790dd77dc,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:59:30.118718,Gelsenkirchen,https://open.nrw/dataset/kinos-gelsenkirchen-ge
Krankenhäuser in Gelsenkirchen,Gesundheitseinrichtungen - Krankenhäuser,Gesundheitseinrichtungen,Krankenhäuser,Infrastrukturdaten über Krankenhäuser in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Sozialeinrichtung<br />Name: Name der Sozialeinrichtung<br />Art: Art der Sozialeinrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Sozialeinrichtung<br />Info: Nähere Information zur Sozialeinrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Sozialeinrichtung (ja/nein),f3ccb02f-9aee-4c9c-88a8-8c91154188e0,Datenlizenz Deutschland Namensnennung 2.0,Gesundheit,2019-10-21T05:57:46.471449,Gelsenkirchen,https://open.nrw/dataset/krankenhaeuser-gelsenkirchen-ge
Kunst im öffentlichen Raum in Gelsenkirchen,Kultur - Kunstwerke,Kultur,Kunstwerke,Infrastrukturdaten über die Kunst im öffentlichen Raum der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer des Objekts<br />Name: Name des Objekts<br />Art: Art des Objekts<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname in der das Objekt lokalisiert ist<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Info: Nähere Information zu dem&nbsp;Objekt<br />Kuenstler: Kuenstler des Objekts<br />Typ: Typ des Objekts<br />Material: Materialbeschaffenheit des&nbsp;Objekts<br />aufgestellt: Jahre in dem das Objekt aufgestellt wurde<br />Anmerkungen: Anmerkungen zu dem Objekt<br />Standort: Detaillierte Standortangabe des Objekts<br />zum Objekt: Nähere Standortinformationen des Objekts<br />zum Kuenstler: Hintergrundinformationen zum Künstler des Objekts<br />Hintergrund: Hintergrundinformationen zum Objekt<br />Hinweise: Weitere Hinweise<br />Link1: Link zu einer Internetadresse für mehr Informationen zum Objekt<br />Link2: Link zu einer Internetadresse für mehr Informationen zum Objekt<br />Link3: Link zu einer Internetadresse für mehr Informationen zum Objekt<br />historisch: Historisch (ja/nein)<br />historisch seit: Jahr seit dem das Objekt historisch ist,e1b71814-f1f7-474b-afb3-6e9dc936641d,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:55:45.303458,Gelsenkirchen,https://open.nrw/dataset/kunst-im-oeffentlichen-raum-gelsenkirchen-ge
Kurzzeitpflegeheime in Gelsenkirchen,Soziale Hilfen - Einrichtungen,Soziale Hilfen,Einrichtungen,Infrastrukturdaten über die Kurzzeitpflegeheime in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Sozialeinrichtung<br />Name: Name der Sozialeinrichtung<br />Art: Art der Sozialeinrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Sozialeinrichtung<br />Info: Nähere Information zur Sozialeinrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Sozialeinrichtung (ja/nein),748c7c0b-f9f7-45cb-93da-5e21bd3b34df,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:57:56.667423,Gelsenkirchen,https://open.nrw/dataset/kurzzeitpflegeheime-gelsenkirchen-ge
Liegenschaftskataster  Stadt Gelsenkirchen,Raumordnung - Liegenschaftskataster,Raumordnung,Liegenschaftskataster,"Dieser WMS-Dienst beinhaltet die Amtliche Basiskarte (ABK) sowie die Flurkarte. Die Amtlichen Basiskarte (ABK) im Maßstab 1:5000 bietet ein detailliertes Bild des Stadtgebietes. Die Inhaltselemente des Kartenwerkes sind unter anderem: Straßen und Wege, Wohn- und Wirtschaftsgebäude, öffentliche Gebäude, Hochhäuser, Eigentumsgrenzen, Straßennamen, Hausnummern (in Auswahl), Gewässer, Bodenbewuchs und Sportplätze. Dahingegen ist die Flurkarte eine maßstäbliche Darstellung aller Liegenschaften (Flurstücke und Gebäude).",6506f2f9-e042-4973-b174-12ccd1cee4ad,Datenlizenz Deutschland Namensnennung 2.0,,2019-10-21T05:55:29.373124,Gelsenkirchen,https://open.nrw/dataset/liegenschaftskataster-stadt-gelsenkirchen-ge
Luftbilder (senkrecht) Stadt Gelsenkirchen,Geschichte - Historische Luftaufnahmen,Geschichte,Historische Luftaufnahmen,Historische und aktuelle Luftbilder der Stadt Gelsenkirchen,d0f16e5d-a6fa-4c19-9732-e8433286f5fb,Datenlizenz Deutschland Namensnennung 2.0,Umwelt,2019-10-21T05:55:26.325716,Gelsenkirchen,https://open.nrw/dataset/luftbilder-senkrecht-stadt-gelsenkirchen-ge
Migrantenselbstorganisation in Gelsenkirchen,Soziale Hilfen - Einrichtungen,Soziale Hilfen,Einrichtungen,Infrastrukturdaten über die Migrantenselbstorganisationen in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Sozialeinrichtung<br />Name: Name der Sozialeinrichtung<br />Art: Art der Sozialeinrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Einrichtung<br />Info: Nähere Information zur Einrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Einrichtung (ja/nein) ,da65dc43-ca42-407e-9b8e-78cf4b4f8bd2,Datenlizenz Deutschland Namensnennung 2.0,Bevölkerung und Gesellschaft,2019-10-21T05:58:07.857830,Gelsenkirchen,https://open.nrw/dataset/migrantenselbstorganisation-gelsenkirchen-ge
Nachrichten aus Gelsenkirchen,Öffentlichkeitsarbeit - Information,Öffentlichkeitsarbeit,Information,"Wir stellen Ihnen hier einen Webservice zur Verfügung, über den Sie unsere aktuellen Nachrichten abfragen können.",b8ff63cd-443a-4669-9516-dc64bfdf83b3,Datenlizenz Deutschland Namensnennung 2.0,"Bildung, Kultur und Sport",2019-10-21T05:55:38.536476,Gelsenkirchen,https://open.nrw/dataset/nachrichten-aus-gelsenkirchen-ge
Pflege (Wachkoma/Hospiz/Palliativ) in Gelsenkirchen,Soziale Hilfen - Einrichtungen,Soziale Hilfen,Einrichtungen,Infrastrukturdaten über Pflegestellen (Wachkoma/Hospiz/Palliativ) in der Stadt Gelsenkirchen.Spaltenbeschreibungen:<br />ID: Identifikationsnummer der Sozialeinrichtung<br />Name: Name der Sozialeinrichtung<br />Art: Art der Sozialeinrichtung<br />PLZ: Postleitzahl<br />Ort: Ortsname<br />Strasse: Strassenname<br />X: X-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Y: Y-Geo-Koordinate nach Europäischem Terrestrisches Referenzsystem 1989 (ETRS89)<br />Telefon: Telefonnummer<br />Fax: Faxnummer<br />E-Mail: Email-Adresse<br />Internet: Internetadresse der Sozialeinrichtung<br />Info: Nähere Information zur Sozialeinrichtung<br />Barrierefrei (Inklusion): Barrierefreiheit der Sozialeinrichtung (ja/nein),eae19e8e-63ce-4cd9-aaa5-3596543abca2,Datenlizenz Deutschland Namensnennung 2.0,"Bevölkerung und Gesellschaft,Gesundheit",2019-10-21T05:58:19.144735,Gelsenkirchen,https://open.nrw/dataset/pflege-wachkomahospizpalliativ-gelsenkirchen-ge
